track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
5,1201,6800,Car,-7.595897,-24.71405,2.655284,2.274102,0.708223,4.7,2.1
5,1203,6900,Car,-7.237839,-24.409637,2.598712,2.2374,0.710825,4.7,2.1
5,1205,7000,Car,-6.705081,-24.008522,2.657825,2.232581,0.698662,4.7,2.1
5,1207,7100,Car,-6.076941,-23.479246,2.717682,2.295132,0.701303,4.7,2.1
5,1209,7200,Car,-5.47506,-23.074423,2.827208,2.281519,0.678987,4.7,2.1
5,1211,7300,Car,-4.92201,-22.733173,2.761092,2.105985,0.651603,4.7,2.1
5,1213,7400,Car,-4.356944,-22.37763,2.812363,2.046633,0.629093,4.7,2.1
5,1215,7500,Car,-3.685428,-21.931149,2.766505,1.939263,0.611383,4.7,2.1
5,1217,7600,Car,-3.121791,-21.54401,2.805271,1.934084,0.603608,4.7,2.1
5,1219,7700,Car,-2.557051,-21.157782,2.836864,1.929042,0.59717,4.7,2.1
5,1221,7800,Car,-1.950064,-20.731129,2.908355,1.97001,0.595371,4.7,2.1
5,1223,7900,Car,-1.489237,-20.394264,3.015539,2.056916,0.598615,4.7,2.1
5,1225,8000,Car,-0.811684,-19.904209,3.143779,2.15961,0.601912,4.7,2.1
5,1227,8100,Car,-0.286077,-19.514244,3.186705,2.213044,0.606999,4.7,2.1
5,1229,8200,Car,0.239801,-19.123594,3.220352,2.260088,0.611942,4.7,2.1
5,1231,8300,Car,1.109349,-18.515005,3.292267,2.299416,0.609671,4.7,2.1
5,1233,8400,Car,1.609885,-18.13389,3.161019,2.236202,0.615696,4.7,2.1
5,1235,8500,Car,2.032815,-17.870892,3.18251,2.205963,0.606115,4.7,2.1
5,1237,8600,Car,2.915782,-17.301413,3.502291,2.369598,0.594838,4.7,2.1
5,1239,8700,Car,3.746449,-16.772497,3.855757,2.557942,0.585744,4.7,2.1
5,1241,8800,Car,4.69968,-16.1621,4.17377,2.726552,0.578663,4.7,2.1
5,1243,8900,Car,5.694082,-15.515478,4.327683,2.804758,0.575036,4.7,2.1
5,1245,9000,Car,6.665113,-14.89999,4.560024,2.923854,0.570159,4.7,2.1
5,1247,9100,Car,7.241777,-14.532834,4.609251,2.940961,0.567933,4.7,2.1
5,1249,9200,Car,7.888025,-14.117269,4.560457,2.900075,0.566412,4.7,2.1
5,1251,9300,Car,8.685997,-13.603333,4.520339,2.867352,0.565275,4.7,2.1
5,1253,9400,Car,9.639974,-13.00494,4.49068,2.824355,0.561426,4.7,2.1
5,1255,9500,Car,10.547365,-12.436172,4.570019,2.857753,0.558834,4.7,2.1
5,1257,9600,Car,11.308374,-11.97379,4.467615,2.764502,0.554119,4.7,2.1
5,1259,9700,Car,11.733624,-11.721571,4.301081,2.638123,0.550187,4.7,2.1
5,1261,9800,Car,12.630796,-11.160253,4.374065,2.679986,0.549705,4.7,2.1
5,1263,9900,Car,13.382934,-10.67675,4.43084,2.730679,0.552311,4.7,2.1
5,1265,10000,Car,14.158606,-10.174128,4.508309,2.800102,0.555789,4.7,2.1
5,1267,10100,Car,15.370259,-9.423382,4.571228,2.827112,0.553881,4.7,2.1
5,1269,10200,Car,16.119865,-8.92629,4.427938,2.768228,0.558724,4.7,2.1
5,1271,10300,Car,16.734116,-8.524495,4.471379,2.813511,0.561633,4.7,2.1
5,1273,10400,Car,17.744627,-7.880816,4.63326,2.92267,0.562761,4.7,2.1
5,1275,10500,Car,18.539389,-7.377057,4.693722,2.962931,0.563084,4.7,2.1
5,1277,10600,Car,19.403303,-6.832105,4.640286,2.928009,0.5629,4.7,2.1
5,1279,10700,Car,20.491428,-6.145634,4.680716,2.952528,0.562749,4.7,2.1
5,1281,10800,Car,21.298485,-5.579507,4.566854,2.943613,0.572542,4.7,2.1
5,1283,10900,Car,21.736916,-5.22714,4.376426,2.906881,0.586302,4.7,2.1
5,1285,11000,Car,22.611431,-4.64439,4.369832,2.918656,0.588863,4.7,2.1
5,1287,11100,Car,23.7754,-3.863727,4.36104,2.934356,0.592276,4.7,2.1
5,1289,11200,Car,24.646839,-3.275481,4.354445,2.946132,0.594835,4.7,2.1
5,1291,11300,Car,25.516958,-2.684881,4.347851,2.957907,0.597392,4.7,2.1
5,1293,11400,Car,26.385759,-2.091926,4.341257,2.969682,0.599948,4.7,2.1
6,1065,0,Car,-25.067266,-38.156448,0.008514,0.005916,0.607238,4.7,2.1
6,1067,100,Car,-25.066444,-38.155876,0.008505,0.005911,0.607382,4.7,2.1
6,1069,200,Car,-25.064739,-38.15469,0.008554,0.005946,0.607424,4.7,2.1
6,1071,300,Car,-25.063032,-38.153503,0.007907,0.005498,0.60755,4.7,2.1
6,1073,400,Car,-25.061649,-38.152542,0.007634,0.005306,0.607429,4.7,2.1
6,1075,500,Car,-25.060131,-38.151485,0.007566,0.005259,0.607428,4.7,2.1
6,1077,600,Car,-25.058779,-38.150543,0.00733,0.005098,0.607728,4.7,2.1
6,1079,700,Car,-25.057993,-38.149998,0.007352,0.005114,0.607738,4.7,2.1
6,1081,800,Car,-25.056376,-38.148872,0.007458,0.005186,0.607616,4.7,2.1
6,1083,900,Car,-25.055199,-38.148056,0.007653,0.005322,0.607657,4.7,2.1
6,1085,1000,Car,-25.053738,-38.147038,0.007875,0.005476,0.607615,4.7,2.1
6,1087,1100,Car,-25.051636,-38.145576,0.007882,0.005481,0.607629,4.7,2.1
6,1089,1200,Car,-25.050116,-38.14452,0.007824,0.005441,0.607663,4.7,2.1
6,1091,1300,Car,-25.048832,-38.143627,0.007193,0.005005,0.607847,4.7,2.1
6,1093,1400,Car,-25.047951,-38.143013,0.007053,0.004906,0.607767,4.7,2.1
6,1095,1500,Car,-25.046883,-38.142273,0.007453,0.005183,0.607652,4.7,2.1
6,1097,1600,Car,-25.045324,-38.14119,0.007835,0.005449,0.607682,4.7,2.1
6,1099,1700,Car,-25.043491,-38.139915,0.007861,0.005467,0.607692,4.7,2.1
6,1101,1800,Car,-25.041697,-38.138668,0.008136,0.005657,0.607575,4.7,2.1
6,1103,1900,Car,-25.040714,-38.137985,0.008365,0.005815,0.607442,4.7,2.1
6,1105,2000,Car,-25.038908,-38.136726,0.008593,0.005973,0.60748,4.7,2.1
6,1107,2100,Car,-25.037109,-38.135479,0.00809,0.005623,0.60745,4.7,2.1
6,1109,2200,Car,-25.035669,-38.13448,0.007887,0.005481,0.607376,4.7,2.1
6,1111,2300,Car,-25.034094,-38.133381,0.007876,0.005474,0.607353,4.7,2.1
6,1113,2400,Car,-25.0327,-38.132412,0.007666,0.005329,0.607462,4.7,2.1
6,1115,2500,Car,-25.031927,-38.131874,0.007659,0.005324,0.607478,4.7,2.1
6,1117,2600,Car,-25.0303,-38.130745,0.007743,0.005382,0.607436,4.7,2.1
6,1119,2700,Car,-25.029137,-38.129936,0.007896,0.00549,0.607596,4.7,2.1
6,1121,2800,Car,-25.027685,-38.128925,0.008072,0.005614,0.60764,4.7,2.1
6,1123,2900,Car,-25.025528,-38.127426,0.008107,0.005638,0.607661,4.7,2.1
6,1125,3000,Car,-25.024035,-38.126389,0.007984,0.005551,0.60755,4.7,2.1
6,1127,3100,Car,-25.022783,-38.125519,0.007282,0.005063,0.607554,4.7,2.1
6,1129,3200,Car,-25.021458,-38.124596,0.007065,0.004912,0.607489,4.7,2.1
6,1131,3300,Car,-25.020437,-38.123886,0.007107,0.004942,0.607594,4.7,2.1
