signal_group_id,timestamp_ms,movement_state
1,17700,STOP_AND_REMAIN
1,17800,STOP_AND_REMAIN
1,17900,STOP_AND_REMAIN
1,18000,STOP_AND_REMAIN
1,18100,STOP_AND_REMAIN
1,18200,STOP_AND_REMAIN
1,18300,STOP_AND_REMAIN
1,18400,STOP_AND_REMAIN
1,18500,STOP_AND_REMAIN
1,18600,STOP_AND_REMAIN
1,18700,STOP_AND_REMAIN
1,18800,STOP_AND_REMAIN
1,18900,STOP_AND_REMAIN
1,19000,STOP_AND_REMAIN
1,19100,STOP_AND_REMAIN
1,19200,STOP_AND_REMAIN
1,19300,STOP_AND_REMAIN
1,19400,STOP_AND_REMAIN
1,19500,STOP_AND_REMAIN
1,19600,STOP_AND_REMAIN
1,19700,STOP_AND_REMAIN
1,19800,STOP_AND_REMAIN
1,19900,STOP_AND_REMAIN
1,20000,STOP_AND_REMAIN
1,20100,STOP_AND_REMAIN
1,20200,STOP_AND_REMAIN
1,20300,STOP_AND_REMAIN
1,20400,STOP_AND_REMAIN
1,20500,STOP_AND_REMAIN
1,20600,STOP_AND_REMAIN
1,20700,STOP_AND_REMAIN
1,20800,STOP_AND_REMAIN
1,20900,STOP_AND_REMAIN
1,21000,STOP_AND_REMAIN
1,21100,STOP_AND_REMAIN
1,21200,STOP_AND_REMAIN
1,21300,STOP_AND_REMAIN
1,21400,STOP_AND_REMAIN
1,21500,STOP_AND_REMAIN
1,21600,STOP_AND_REMAIN
1,21700,STOP_AND_REMAIN
1,21800,STOP_AND_REMAIN
1,21900,STOP_AND_REMAIN
1,22000,STOP_AND_REMAIN
1,22100,STOP_AND_REMAIN
1,22200,STOP_AND_REMAIN
1,22300,STOP_AND_REMAIN
1,22400,STOP_AND_REMAIN
1,22500,STOP_AND_REMAIN
1,22600,STOP_AND_REMAIN
1,22700,STOP_AND_REMAIN
1,22800,STOP_AND_REMAIN
1,22900,STOP_AND_REMAIN
1,23000,STOP_AND_REMAIN
1,23100,STOP_AND_REMAIN
1,23200,STOP_AND_REMAIN
1,23300,STOP_AND_REMAIN
1,23400,STOP_AND_REMAIN
1,23500,STOP_AND_REMAIN
1,23600,STOP_AND_REMAIN
1,23700,STOP_AND_REMAIN
1,23800,STOP_AND_REMAIN
1,23900,STOP_AND_REMAIN
1,24000,STOP_AND_REMAIN
1,24100,STOP_AND_REMAIN
1,24200,STOP_AND_REMAIN
1,24300,STOP_AND_REMAIN
1,24400,STOP_AND_REMAIN
1,24500,STOP_AND_REMAIN
1,24600,STOP_AND_REMAIN
1,24700,STOP_AND_REMAIN
1,24800,STOP_AND_REMAIN
1,24900,STOP_AND_REMAIN
1,25000,STOP_AND_REMAIN
1,25100,STOP_AND_REMAIN
1,25200,STOP_AND_REMAIN
1,25300,STOP_AND_REMAIN
1,25400,STOP_AND_REMAIN
1,25500,STOP_AND_REMAIN
1,25600,STOP_AND_REMAIN
1,25700,STOP_AND_REMAIN
1,25800,STOP_AND_REMAIN
1,25900,STOP_AND_REMAIN
1,26000,STOP_AND_REMAIN
1,26100,STOP_AND_REMAIN
1,26200,STOP_AND_REMAIN
1,26300,STOP_AND_REMAIN
1,26400,STOP_AND_REMAIN
1,26500,STOP_AND_REMAIN
1,26600,STOP_AND_REMAIN
1,26700,STOP_AND_REMAIN
1,26800,STOP_AND_REMAIN
1,26900,STOP_AND_REMAIN
1,27000,STOP_AND_REMAIN
1,27100,STOP_AND_REMAIN
1,27200,STOP_AND_REMAIN
1,27300,STOP_AND_REMAIN
1,27400,STOP_AND_REMAIN
1,27500,STOP_AND_REMAIN
1,27600,STOP_AND_REMAIN
1,27700,STOP_AND_REMAIN
1,27800,STOP_AND_REMAIN
1,27900,STOP_AND_REMAIN
1,28000,STOP_AND_REMAIN
1,28100,STOP_AND_REMAIN
1,28200,STOP_AND_REMAIN
1,28300,STOP_AND_REMAIN
1,28400,STOP_AND_REMAIN
1,28500,STOP_AND_REMAIN
1,28600,STOP_AND_REMAIN
1,28700,STOP_AND_REMAIN
1,28800,STOP_AND_REMAIN
1,28900,STOP_AND_REMAIN
1,29000,STOP_AND_REMAIN
1,29100,STOP_AND_REMAIN
1,29200,STOP_AND_REMAIN
1,29300,STOP_AND_REMAIN
1,29400,STOP_AND_REMAIN
1,29500,STOP_AND_REMAIN
1,29600,STOP_AND_REMAIN
1,29700,STOP_AND_REMAIN
1,29800,STOP_AND_REMAIN
1,29900,STOP_AND_REMAIN
1,30000,STOP_AND_REMAIN
1,30100,STOP_AND_REMAIN
1,30200,STOP_AND_REMAIN
1,30300,STOP_AND_REMAIN
1,30400,STOP_AND_REMAIN
1,30500,STOP_AND_REMAIN
1,30600,STOP_AND_REMAIN
1,30700,STOP_AND_REMAIN
1,30800,STOP_AND_REMAIN
1,30900,STOP_AND_REMAIN
1,31000,STOP_AND_REMAIN
1,31100,STOP_AND_REMAIN
1,31200,STOP_AND_REMAIN
1,31300,STOP_AND_REMAIN
1,31400,STOP_AND_REMAIN
1,31500,STOP_AND_REMAIN
1,31600,STOP_AND_REMAIN
1,31700,STOP_AND_REMAIN
1,31800,STOP_AND_REMAIN
1,31900,STOP_AND_REMAIN
1,32000,STOP_AND_REMAIN
1,32100,STOP_AND_REMAIN
1,32200,STOP_AND_REMAIN
1,32300,STOP_AND_REMAIN
1,32400,STOP_AND_REMAIN
1,32500,STOP_AND_REMAIN
1,32600,STOP_AND_REMAIN
