track_id,frame_id,timestamp_ms,agent_type,vx,vy,psi_rad,length,width,time,x,y
5711,42715,0,Car,-0.1031702765090615,0.2037890192185898,2.038760091741372,4.6,2.1,2022-03-16 11:47:13.398,16.45648616395469,-21.05493352194335
5711,42717,100,Car,-0.1031702765090615,0.2037890192185898,2.038760091741372,4.6,2.1,2022-03-16 11:47:13.498,16.45648616395469,-21.05493352194335
5711,42718,200,Car,-0.3084626119304797,0.6094365515258461,2.038760091741372,4.6,2.1,2022-03-16 11:47:13.598,16.45648616395469,-21.05493352194335
5711,42720,300,Car,-0.5112266348306352,1.010425997324517,2.038760091741372,4.6,2.1,2022-03-16 11:47:13.698,16.45648616395469,-21.05493352194335
5711,42721,400,Car,-0.710209514210369,1.4044248129739505,2.038760091741372,4.6,2.1,2022-03-16 11:47:13.798,16.45648616395469,-21.05493352194335
5711,42723,500,Car,-0.9043587951444818,1.7893677361539062,2.038760091741372,4.6,2.1,2022-03-16 11:47:13.898,16.36605028444024,-20.87599674832796
5711,42724,600,Car,-1.0928477138778798,2.1634791731309733,2.038542999479883,4.6,2.1,2022-03-16 11:47:13.998,16.256765513052454,-20.659648831014863
5711,42726,700,Car,-1.2750876911170304,2.525286951870526,2.0383784336444437,4.6,2.1,2022-03-16 11:47:14.098,16.12925674394075,-20.40712013582781
5711,42727,800,Car,-1.4506994110126223,2.873591861176514,2.0383071302933757,4.6,2.1,2022-03-16 11:47:14.198,15.984186802839488,-20.11976094971016
5711,42729,900,Car,-1.6195150604088244,3.207488767899064,2.0383696586101325,4.6,2.1,2022-03-16 11:47:14.298,15.822235296798606,-19.79901207292025
5711,42730,1000,Car,-1.7815455620683085,3.5263308314223707,2.0386050426853513,4.6,2.1,2022-03-16 11:47:14.398,15.644080740591775,-19.44637898977801
5711,42732,1100,Car,-1.936991312052339,3.8297410222212847,2.0390540969255917,4.6,2.1,2022-03-16 11:47:14.498,15.45038160938654,-19.063404887555887
5711,42733,1200,Car,-2.0862186395341267,4.117559118614231,2.0397608481280067,4.6,2.1,2022-03-16 11:47:14.598,15.241759745433129,-18.651648975694464
5711,42735,1300,Car,-2.2297680799315938,4.389834386067086,2.0407749446815924,4.6,2.1,2022-03-16 11:47:14.698,15.018782937439967,-18.212665537087755
5711,42736,1400,Car,-2.3683228696388854,4.646752024084969,2.0421521564222256,4.6,2.1,2022-03-16 11:47:14.798,14.78195065047608,-17.74799033467926
5711,42738,1500,Car,-2.502713137942329,4.888634969296,2.043954354878266,4.6,2.1,2022-03-16 11:47:14.898,14.531679336681847,-17.25912683774966
5711,42739,1600,Car,-2.6336567492633054,5.115876669363216,2.0462142435203012,4.6,2.1,2022-03-16 11:47:14.998,14.268313661755515,-16.747539170813337
5711,42741,1700,Car,-2.7610764739091023,5.328900278272357,2.0488444933284717,4.6,2.1,2022-03-16 11:47:15.098,13.992206014364609,-16.2146491429861
5711,42742,1800,Car,-2.884768206385504,5.528176479047672,2.0517550129090685,4.6,2.1,2022-03-16 11:47:15.198,13.703729193726057,-15.661831495081334
5711,42744,1900,Car,-3.004644279947988,5.714273216054088,2.0548811540512335,4.6,2.1,2022-03-16 11:47:15.298,13.403264765731258,-15.090404173475925
5711,42745,2000,Car,-3.1204832788968613,5.887827354284933,2.0581462585128625,4.6,2.1,2022-03-16 11:47:15.398,13.091216437841572,-14.501621438047431
5711,42747,2100,Car,-3.23101342570643,6.049483163424175,2.061348351213102,4.6,2.1,2022-03-16 11:47:15.498,12.768115095270929,-13.896673121705014
5711,42748,2200,Car,-3.333878943082701,6.199826869653471,2.0641761728737915,4.6,2.1,2022-03-16 11:47:15.598,12.43472720096266,-13.276690434739669
5711,42750,2300,Car,-3.426787934918213,6.339449660446766,2.0663551280136643,4.6,2.1,2022-03-16 11:47:15.698,12.092048407470838,-12.64274546869499
5711,42751,2400,Car,-3.5086122128129595,6.468939766667566,2.0677690779467954,4.6,2.1,2022-03-16 11:47:15.798,11.741187186189542,-11.995851492028232
5711,42753,2500,Car,-3.579614392634304,6.588910280254404,2.068464563663658,4.6,2.1,2022-03-16 11:47:15.898,11.383225746926112,-11.336960464002791
5711,42754,2600,Car,-3.641188478375952,6.699941826621048,2.068608951501655,4.6,2.1,2022-03-16 11:47:15.998,11.019106899088516,-10.666966281340688
5711,42756,2700,Car,-3.694965354001954,6.80256504292103,2.0683824846109173,4.6,2.1,2022-03-16 11:47:16.098,10.64961036368832,-9.986709777048585
5711,42757,2800,Car,-3.742565506742061,6.897206095888924,2.0679562556783595,4.6,2.1,2022-03-16 11:47:16.198,10.275353813014116,-9.296989167459692
5711,42759,2900,Car,-3.78561466940491,6.984215101677211,2.067495585268363,4.6,2.1,2022-03-16 11:47:16.298,9.896792346073624,-8.598567657291971
5711,42760,3000,Car,-3.825724061551344,7.06384121073732,2.0671618062591377,4.6,2.1,2022-03-16 11:47:16.398,9.51421993991849,-7.892183536218239
5711,42762,3100,Car,-3.864508936478423,7.136277408130876,2.0671134781646434,4.6,2.1,2022-03-16 11:47:16.498,9.127769046270648,-7.178555795405151
5711,42763,3200,Car,-3.903354050942623,7.20164591045001,2.0674834131668205,4.6,2.1,2022-03-16 11:47:16.598,8.737433641176386,-6.45839120436015
5711,42765,3300,Car,-3.942556624530306,7.26006513706305,2.0682856773733453,4.6,2.1,2022-03-16 11:47:16.698,8.343177978723356,-5.732384690653845
5711,42766,3400,Car,-3.981090633832181,7.311634722655814,2.069397118329746,4.6,2.1,2022-03-16 11:47:16.798,7.945068915340138,-5.001221218388263
